iter	Passed	Remaining
0	1	99
1	1	96
2	2	88
3	3	79
4	4	80
5	5	79
6	5	77
7	6	76
8	7	73
9	8	72
10	8	71
11	9	70
12	10	69
13	11	68
14	11	67
15	12	65
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	57
25	20	57
26	21	57
27	22	56
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	41	38
52	43	38
53	44	37
54	45	36
55	46	36
56	47	35
57	48	34
58	48	34
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	27
66	55	27
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	80	0
