iter	Passed	Remaining
0	167	166936
1	167	83661
2	168	55939
3	168	42069
4	170	33834
5	171	28391
6	173	24542
7	175	21713
8	178	19686
9	181	17953
10	183	16517
11	185	15231
12	185	14092
13	186	13156
14	188	12367
15	191	11758
16	194	11224
17	196	10741
18	199	10298
19	202	9900
20	204	9535
21	207	9229
22	209	8907
23	211	8607
24	213	8325
25	215	8056
26	216	7803
27	217	7565
28	220	7368
29	221	7158
30	221	6936
31	222	6744
32	224	6564
33	224	6377
34	225	6212
35	226	6062
36	227	5922
37	228	5790
38	229	5660
39	230	5536
40	231	5418
41	232	5313
42	234	5213
43	235	5116
44	236	5020
45	237	4931
46	238	4841
47	239	4753
48	240	4668
49	241	4587
50	242	4512
51	243	4439
52	244	4367
53	245	4294
54	245	4223
55	246	4155
56	247	4092
57	248	4034
58	249	3979
59	250	3922
60	251	3867
61	252	3812
62	252	3758
63	253	3705
64	253	3653
65	254	3603
66	255	3554
67	255	3507
68	256	3461
69	257	3415
70	257	3371
71	258	3328
72	258	3286
73	259	3246
74	259	3205
75	260	3166
76	260	3128
77	261	3091
78	262	3054
79	262	3020
80	263	2988
81	264	2958
82	264	2924
83	265	2893
84	265	2863
85	266	2831
86	267	2802
87	267	2773
88	268	2744
89	268	2717
90	269	2690
91	269	2662
92	270	2636
93	270	2610
94	271	2585
95	271	2561
96	272	2536
97	272	2512
98	273	2488
99	273	2465
100	274	2442
101	274	2419
102	275	2397
103	275	2376
104	276	2354
105	276	2334
106	277	2315
107	278	2297
108	278	2279
109	279	2260
110	280	2242
111	280	2225
112	281	2209
113	281	2191
114	282	2173
115	282	2156
116	283	2137
117	283	2121
118	284	2104
119	284	2088
120	285	2072
121	285	2055
122	286	2039
123	286	2024
124	287	2009
125	287	1994
126	287	1978
127	288	1964
128	288	1949
129	289	1935
130	289	1922
131	290	1909
132	290	1895
133	291	1882
134	291	1869
135	292	1856
136	293	1846
137	293	1835
138	294	1823
139	294	1812
140	295	1800
141	295	1788
142	296	1776
143	296	1764
144	297	1754
145	298	1743
146	298	1732
147	299	1722
148	299	1712
149	300	1702
150	300	1692
151	301	1682
152	302	1671
153	302	1661
154	302	1651
155	303	1642
156	304	1632
157	304	1623
158	305	1614
159	305	1605
160	306	1595
161	306	1586
162	307	1577
163	307	1569
164	308	1561
165	309	1553
166	309	1544
167	310	1535
168	310	1527
169	311	1518
170	311	1510
171	312	1502
172	312	1493
173	312	1485
174	313	1477
175	313	1469
176	314	1461
177	314	1453
178	315	1446
179	315	1438
180	316	1431
181	316	1423
182	317	1416
183	317	1408
184	318	1401
185	318	1394
186	319	1387
187	319	1380
188	320	1373
189	320	1366
190	320	1359
191	321	1353
192	322	1346
193	322	1340
194	323	1335
195	324	1329
196	324	1322
197	325	1316
198	325	1311
199	326	1305
200	326	1299
201	327	1293
202	327	1286
203	328	1280
204	328	1274
205	329	1269
206	329	1263
207	330	1257
208	330	1251
209	331	1245
210	331	1240
211	332	1234
212	332	1228
213	333	1223
214	333	1217
215	333	1212
216	334	1206
217	334	1201
218	335	1195
219	335	1190
220	336	1185
221	336	1180
222	337	1175
223	338	1171
224	338	1167
225	339	1163
226	340	1158
227	340	1154
228	341	1149
229	341	1144
230	342	1140
231	343	1135
232	343	1131
233	344	1126
234	344	1122
235	345	1117
236	345	1113
237	346	1109
238	346	1104
239	347	1100
240	348	1096
241	348	1092
242	349	1087
243	349	1083
244	350	1078
245	350	1074
246	351	1070
247	351	1065
248	351	1061
249	352	1057
250	353	1053
251	353	1050
252	354	1046
253	354	1042
254	355	1038
255	355	1034
256	356	1030
257	356	1026
258	357	1022
259	357	1018
260	358	1014
261	358	1010
262	359	1006
263	359	1002
264	360	999
265	360	995
266	361	991
267	361	988
268	362	984
269	362	981
270	363	977
271	363	974
272	364	970
273	364	966
274	365	963
275	365	959
276	366	956
277	366	952
278	367	949
279	368	946
280	368	943
281	369	940
282	369	936
283	370	933
284	370	930
285	371	926
286	371	924
287	372	921
288	373	918
289	373	915
290	374	912
291	374	909
292	375	906
293	376	903
294	376	900
295	377	897
296	377	893
297	378	890
298	378	887
299	379	884
300	379	881
301	379	878
302	380	875
303	380	872
304	381	869
305	381	866
306	382	862
307	382	860
308	383	857
309	384	855
310	384	852
311	385	849
312	385	846
313	386	843
314	386	841
315	387	838
316	387	835
317	388	832
318	388	829
319	389	826
320	389	824
321	390	821
322	390	818
323	391	815
324	391	813
325	391	810
326	392	807
327	392	805
328	393	802
329	393	799
330	394	797
331	394	794
332	395	791
333	395	789
334	396	786
335	396	784
336	397	781
337	397	779
338	398	777
339	399	775
340	399	772
341	400	770
342	400	767
343	401	765
344	401	762
345	402	760
346	402	757
347	403	755
348	403	752
349	404	750
350	404	747
351	404	745
352	405	743
353	405	740
354	406	738
355	406	735
356	407	733
357	407	731
358	408	729
359	408	727
360	409	724
361	409	722
362	410	720
363	410	717
364	411	715
365	411	713
366	412	711
367	412	709
368	413	707
369	414	705
370	414	703
371	415	701
372	416	699
373	416	697
374	417	695
375	417	693
376	418	691
377	418	689
378	419	687
379	419	685
380	420	683
381	421	681
382	421	679
383	422	677
384	422	675
385	423	673
386	423	671
387	424	669
388	424	667
389	425	664
390	425	662
391	426	660
392	426	658
393	427	656
394	427	654
395	428	653
396	429	651
397	429	649
398	430	647
399	430	645
400	431	643
401	431	641
402	432	640
403	432	638
404	433	636
405	433	634
406	434	632
407	434	630
408	435	628
409	435	626
410	435	624
411	436	622
412	436	620
413	437	619
414	437	617
415	438	615
416	438	613
417	439	611
418	439	609
419	440	607
420	440	605
421	440	603
422	441	602
423	441	600
424	442	598
425	442	596
426	443	595
427	444	593
428	444	591
429	445	590
430	445	588
431	446	587
432	446	585
433	447	583
434	448	581
435	448	580
436	449	578
437	449	577
438	450	575
439	451	574
440	451	572
441	452	570
442	452	569
443	453	567
444	453	565
445	454	564
446	454	562
447	455	560
448	455	559
449	456	557
450	456	555
451	457	554
452	457	552
453	458	550
454	458	549
455	459	548
456	460	546
457	460	545
458	461	543
459	461	541
460	462	540
461	462	538
462	462	536
463	463	535
464	463	533
465	464	532
466	464	530
467	465	529
468	465	527
469	466	525
470	466	524
471	467	522
472	467	521
473	468	519
474	468	518
475	469	516
476	469	514
477	470	513
478	470	511
479	471	510
480	471	508
481	472	507
482	472	505
483	473	504
484	473	503
485	474	501
486	475	500
487	475	499
488	476	497
489	477	496
490	478	495
491	478	494
492	479	492
493	480	491
494	480	490
495	481	489
496	482	487
497	482	486
